Source,Target,Weight
12,37,4
16,22,2
24,28,1
11,6,5
5,4,14
0,30,9
37,4,1
16,9,8
7,0,83
23,17,2
16,6,8
23,0,8
37,35,6
2,33,1
9,36,5
26,8,11
18,3,1
8,1,46
22,4,1
7,4,7
11,2,8
4,24,1
29,0,1
3,9,1
5,18,4
30,26,2
4,2,19
0,26,10
35,2,1
36,35,6
37,0,3
21,16,9
4,17,4
28,0,5
24,20,3
20,10,1
5,24,10
7,5,23
23,3,8
12,3,2
2,16,28
11,16,4
6,0,40
3,1,11
3,37,1
9,23,1
5,36,8
2,8,13
24,25,1
16,0,27
16,36,1
8,29,1
0,10,15
24,27,9
17,0,7
2,7,21
8,20,1
10,9,2
11,33,2
24,0,96
16,7,6
16,5,21
4,14,1
16,24,11
5,11,2
10,5,2
1,6,15
18,1,1
36,12,1
3,0,21
9,35,5
0,36,4
0,11,5
3,24,2
12,0,15
24,26,2
37,6,4
23,4,4
1,20,3
7,21,2
21,10,1
15,0,4
21,3,1
5,3,20
8,24,11
35,24,1
8,6,10
24,11,4
23,18,2
4,16,2
21,0,13
17,3,2
11,9,7
17,5,2
8,23,2
35,0,2
17,18,8
34,2,1
5,1,52
2,18,2
4,0,20
2,3,8
1,28,1
22,21,2
2,6,13
0,18,1
12,24,15
4,1,11
16,10,2
2,24,45
8,30,7
8,10,2
5,12,8
9,2,8
36,6,4
7,20,4
9,0,3
5,9,6
2,10,10
2,27,3
3,6,14
37,11,2
28,7,2
18,6,1
16,19,3
24,1,19
19,5,3
23,5,2
0,19,3
7,3,9
37,36,11
0,34,1
4,21,1
21,8,1
8,3,11
8,31,6
14,0,1
6,9,2
37,2,3
8,7,58
1,23,1
0,2,129
36,17,1
4,8,8
21,9,2
21,11,1
12,1,2
1,7,72
16,17,1
27,0,8
30,31,6
27,7,2
9,37,6
33,0,1
1,15,1
26,1,1
3,14,2
5,2,44
4,3,22
12,10,1
21,5,10
27,1,7
20,28,1
10,1,2
36,2,5
16,8,3
15,8,1
16,3,2
9,4,2
6,24,2
12,16,2
37,5,6
24,7,9
12,11,3
7,10,5
16,1,8
0,1,167
2,26,2
8,0,75
0,22,1
26,10,1
26,7,6
35,5,3
2,17,3
1,17,2
21,1,3
5,8,35
23,7,1
6,4,11
0,31,4
37,24,1
5,0,108
35,8,2
20,0,14
5,15,3
35,16,2
2,1,30
12,2,12
16,37,3
2,14,4
2,20,5
18,4,3
7,6,12
6,12,1
10,24,2
5,6,41
27,8,1
22,3,1
17,9,1
27,16,1
21,2,4
